movie,(Intercept),b_c,b_l,c_b,c_e,c_h,c_p,j_r,m_r,p_r,r_d,s_l,s_j,t_l,t_s,z_s,b_o,y,x,,,,
Ant-Man," $148,575,874.00 ", $-   , $-   , $-   ," $256,962.75 ", $-   , $-   , $-   , $-   ," $70,542,288.50 ", $-   , $-   , $-   , $-   , $-   , $-   ," $195,211,850.50 "," $219,375,125.25 ",1,,,,
Ant-Man and the Wasp," $148,575,874.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $59,087,897.10 ", $-   , $-   , $-   , $-   , $-   , $-   ," $221,525,289.04 "," $207,663,771.10 ",2,,,,
Avengers: Age of Ultron," $148,575,874.00 ", $-   , $-   , $-   ," $22,355,759.25 "," $36,489,082.25 ", $-   ," $299,498,430.00 "," $54,177,420.00 ", $-   ," $96,461,566.50 "," $41,736,336.00 "," $(127,132,938.00)", $-   , $-   , $-   ," $497,238,120.73 "," $572,161,530.00 ",3,,,,
Avengers: Endgame," $148,575,874.00 "," $1,650,871.25 "," $(2,328,918.00)"," $20,367,254.25 "," $31,606,418.25 "," $58,520,226.25 "," $(33,420,033.00)"," $359,398,116.00 "," $54,177,420.00 "," $18,508,620.25 "," $123,010,621.50 "," $3,478,028.00 "," $(113,007,056.00)"," $(2,259,715.00)"," $5,897,703.00 "," $119,120,466.75 "," $858,373,000.00 "," $793,295,897.50 ",4,,,,
Avengers: Infinity War," $148,575,874.00 "," $14,857,841.25 ", $-   ," $38,406,822.30 "," $7,451,919.75 "," $41,996,868.25 "," $(114,185,112.75)", $-   ," $25,734,274.50 ", $-   ," $60,177,858.00 "," $13,912,112.00 "," $(35,314,705.00)"," $(8,473,931.25)"," $14,252,782.25 "," $501,559,860.00 "," $694,094,947.67 "," $708,952,463.30 ",5,,,,
Black Panther," $148,575,874.00 ", $-   , $-   ," $558,644,688.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $715,817,215.01 "," $707,220,562.00 ",6,,,,
Captain America: Civil War," $148,575,874.00 ", $-   , $-   ," $133,841,956.50 "," $39,315,300.75 ", $-   , $-   ," $84,857,888.50 ", $-   ," $7,682,823.50 "," $131,860,306.50 ", $-   ," $(84,755,292.00)", $-   ," $16,710,158.50 ", $-   ," $436,567,805.79 "," $478,089,016.25 ",7,,,,
Captain America: The First Avenger," $148,575,874.00 ", $-   , $-   , $-   ," $58,073,581.50 ", $-   , $-   , $-   , $-   , $-   , $-   ," $6,956,056.00 ", $-   , $-   , $-   , $-   ," $201,644,152.63 "," $213,605,511.50 ",8,,,,
Captain America: The Winter Soldier," $148,575,874.00 ", $-   , $-   , $-   ," $60,643,209.00 ", $-   , $-   , $-   , $-   , $-   , $-   ," $215,637,736.00 "," $(171,276,319.25)", $-   , $-   , $-   ," $281,737,485.05 "," $253,580,499.75 ",9,,,,
Captain Marvel," $148,575,874.00 ", $-   ," $(25,229,945.00)", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $313,022,520.00 "," $(3,531,470.50)", $-   , $-   , $-   ," $426,829,839.00 "," $432,836,978.50 ",10,,,,
Doctor Strange," $148,575,874.00 "," $97,071,229.50 ", $-   , $-   , $-   ," $2,065,419.75 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $248,879,852.41 "," $247,712,523.25 ",11,,,,
Guardians of the Galaxy," $148,575,874.00 ", $-   , $-   , $-   , $-   , $-   ," $(520,795,514.25)", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $777,417,783.00 "," $361,356,492.63 "," $405,198,142.75 ",12,,,,
